gen	arc	test_pcc
0	0-3|0-3|5-11|8-10|14-17|12-17|21-24	0.6767052705842354
0	0-3|0-3|7-9|4-7|7-10|7-10|16-19	0.49552717778605593
0	0-3|0-3|10-14|10-18|9-14|13-16|4-11	0.5518198110512567
0	0-3|0-3|4-8|8-19|16-19|18-21|16-24	0.5711772659908417
0	0-3|0-3|7-12|5-10|12-16|15-28|11-15	0.563363056972681
0	0-3|0-3|7-15|10-14|17-26|11-17|11-12	0.24618435327428706
0	0-3|0-3|4-5|5-13|9-12|16-17|9-14	0.204925553935032
0	0-3|0-3|7-10|7-11|15-18|10-17|21-33	0.6576323105674582
0	0-3|0-3|8-12|10-14|10-12|18-28|0-4	0.6953941643875763
0	0-3|0-3|10-14|5-8|7-14|10-17|14-18	0.6060756966024493
1	0-3|0-3|3-9|10-14|9-11|7-12|19-27	0.6933583714550022
1	0-3|0-3|7-11|8-17|7-12|18-24|4-7	0.6610736229646239
1	0-3|0-3|9-16|7-16|12-14|16-22|20-21	0.4795024806403474
1	0-3|0-3|4-9|9-14|12-16|13-16|22-27	0.6468362605170814
1	0-3|0-3|7-9|7-10|7-11|18-20|1-9	0.3762552068465713
1	0-3|0-3|7-12|10-14|17-20|17-24|7-10	0.5445044383238735
1	0-3|0-3|9-14|7-13|18-22|13-14|17-27	0.6744143330910123
1	0-3|0-3|4-12|6-9|7-15|16-20|8-13	0.6006621756009395
1	0-3|0-3|6-8|10-20|18-22|10-20|10-18	0.6293825358560465
1	0-3|0-3|9-12|7-9|13-23|8-14|18-24	0.6810157967069658
2	0-3|0-3|4-9|7-10|10-15|16-20|18-24	0.6948701242811639
2	0-3|0-3|8-11|7-11|7-10|7-14|15-19	0.6095420450182434
2	0-3|0-3|9-14|7-11|14-20|7-14|0-6	0.6275800849256844
2	0-3|0-3|8-17|3-9|9-14|10-18|4-14	0.6186422101695149
2	0-3|0-3|9-17|8-11|7-10|15-18|3-11	0.5676967761960536
2	0-3|0-3|4-6|4-7|12-17|9-13|12-18	0.5926009899453655
2	0-3|0-3|6-13|10-19|12-16|16-20|18-24	0.6200832711276373
2	0-3|0-3|4-10|3-4|14-23|8-17|15-21	0.624889419221525
2	0-3|0-3|7-15|10-14|17-23|8-12|0-4	0.6319598978282281
2	0-3|0-3|9-10|10-17|12-16|15-21|0-6	0.27139483831293193
3	0-3|0-3|3-7|9-13|17-19|16-22|22-34	0.6102861860542684
3	0-3|0-3|5-8|7-13|9-15|8-13|4-10	0.5297800351897275
3	0-3|0-3|8-17|4-8|10-14|16-19|8-16	0.600976575223862
3	0-3|0-3|9-12|6-11|7-14|12-20|21-28	0.6571058121901583
3	0-3|0-3|5-14|9-17|15-21|9-14|19-26	0.6403688820353962
3	0-3|0-3|4-11|3-10|11-17|18-19|3-11	0.5864293821641423
3	0-3|0-3|7-17|10-13|7-13|7-11|21-27	0.6784186172136076
3	0-3|0-3|4-12|7-12|12-20|10-11|18-30	0.7053062812241063
3	0-3|0-3|10-15|3-8|13-16|7-10|14-16	0.5389475153243423
3	0-3|0-3|6-9|7-9|14-21|16-22|4-7	0.6241928654913841
4	0-3|0-3|4-6|3-9|9-15|14-19|4-11	0.5106482278565369
4	0-3|0-3|6-8|10-17|12-15|13-19|9-17	0.5614457340296564
4	0-3|0-3|9-15|4-10|13-18|10-13|2-9	0.6072740971805707
4	0-3|0-3|7-12|10-17|15-18|10-14|19-25	0.7083898711640768
4	0-3|0-3|7-12|7-11|7-13|13-21|12-16	0.5661770111544224
4	0-3|0-3|3-10|5-8|18-22|9-13|21-25	0.6894500064025195
4	0-3|0-3|5-11|7-10|14-20|13-16|18-20	0.5624248934373591
4	0-3|0-3|6-8|4-11|13-22|10-12|18-23	0.6537070795834036
4	0-3|0-3|4-11|7-12|12-19|9-10|21-25	0.6907034305216978
4	0-3|0-3|9-13|8-12|9-13|18-26|18-19	0.327955657754332
5	0-3|0-3|3-9|10-13|7-11|7-11|10-15	0.5460814105236577
5	0-3|0-3|7-15|3-5|12-18|10-11|7-11	0.5805139231367902
5	0-3|0-3|9-11|6-13|15-23|7-11|21-27	0.6374754406443564
5	0-3|0-3|5-14|9-11|7-13|16-21|7-13	0.562529090857531
5	0-3|0-3|5-10|9-19|17-23|10-16|18-26	0.6773985883359127
5	0-3|0-3|6-16|10-13|7-11|10-16|5-11	0.6044350627972904
5	0-3|0-3|6-9|3-9|14-18|16-25|7-13	0.6407729200836848
5	0-3|0-3|3-7|5-9|10-15|16-21|18-23	0.7133259543633209
5	0-3|0-3|7-11|9-14|10-18|16-20|21-26	0.6801215675065545
5	0-3|0-3|5-8|10-15|7-11|16-24|21-24	0.5698035460178019
6	0-3|0-3|3-8|10-14|12-17|13-17|0-2	0.5622756552453819
6	0-3|0-3|5-14|10-15|18-26|9-12|15-18	0.7116995188594923
6	0-3|0-3|4-6|3-10|12-14|10-14|17-20	0.5614116342947225
6	0-3|0-3|6-12|10-12|8-13|7-16|6-13	0.5575654399592344
6	0-3|0-3|5-11|5-15|14-20|8-17|21-30	0.6926709529655604
6	0-3|0-3|9-14|10-12|13-22|7-13|4-7	0.6835936899091679
